Date,Time,Temperature (°C),Humidity (%),Wind Speed (km/h),Weather Condition
2025-05-06,2025-05-06 15:00,0.8746835494530959,19,-1.9014519378550363,Sunny
2025-05-06,2025-05-06 16:00,0.8746835494530959,19,-1.7970798159650152,Sunny
2025-05-06,2025-05-06 17:00,0.8350217852673693,19,-1.1447540541523828,Sunny
2025-05-06,2025-05-06 18:00,0.6565438464315961,22,-0.9621028408448458,Sunny
2025-05-06,2025-05-06 19:00,0.1211100299242752,25,-0.7794516275373087,Clear 
2025-05-06,2025-05-06 20:00,-0.21601496565440784,29,-0.30977707903221374,Clear 
2025-05-06,2025-05-06 21:00,-0.3944929044901817,31,0.08161837805536558,Clear 
2025-05-06,2025-05-06 22:00,-0.5531399612330908,34,0.2642695913629029,Clear 
2025-05-06,2025-05-06 23:00,-0.6126326075116821,36,0.15989746947288164,Clear 
2025-05-07,2025-05-07 00:00,-0.7117870179760007,37,0.15989746947288164,Clear 
2025-05-07,2025-05-07 01:00,-0.791110546347456,37,0.2642695913629029,Clear 
2025-05-07,2025-05-07 02:00,-0.8307723105331833,38,0.08161837805536558,Clear 
2025-05-07,2025-05-07 03:00,-0.9695884851832292,39,-0.30977707903221374,Clear 
2025-05-07,2025-05-07 04:00,-1.0489120135546839,39,-0.5968004142297718,Clear 
2025-05-07,2025-05-07 05:00,-1.0687428956475478,39,-0.30977707903221374,Clear 
2025-05-07,2025-05-07 06:00,-0.9100958389046379,38,-0.38805617044972934,Sunny
2025-05-07,2025-05-07 07:00,-0.3151693761187264,31,-0.5968004142297718,Sunny
2025-05-07,2025-05-07 08:00,0.08144826573854791,28,-0.12712586572467646,Sunny
2025-05-07,2025-05-07 09:00,0.39874237922436695,25,0.2642695913629029,Sunny
2025-05-07,2025-05-07 10:00,0.7160364927101867,23,0.8122232312855139,Sunny
2025-05-07,2025-05-07 11:00,0.9540070778245519,21,1.099246566483072,Sunny
2025-05-07,2025-05-07 12:00,1.112654134567461,20,0.9165953531755352,Sunny
2025-05-07,2025-05-07 13:00,1.2316394271246436,19,0.551292926560461,Sunny
2025-05-07,2025-05-07 14:00,1.3109629554960982,18,0.3425486827804185,Sunny
2025-05-07,2025-05-07 15:00,1.3506247196818262,17,0.15989746947288164,Sunny
2025-05-07,2025-05-07 16:00,1.330793837588962,17,-0.2054049571421925,Sunny
2025-05-07,2025-05-07 17:00,1.2118085450317797,18,-0.9621028408448458,Sunny
2025-05-07,2025-05-07 18:00,0.9936688420102785,19,-2.371126486360131,Sunny
2025-05-07,2025-05-07 19:00,0.45823502550295897,23,-1.7970798159650152,Clear 
2025-05-07,2025-05-07 20:00,-0.03753702681863467,29,-0.022753743834655206,Clear 
2025-05-07,2025-05-07 21:00,-0.21601496565440784,33,0.08161837805536558,Clear 
2025-05-07,2025-05-07 22:00,-0.3350002582115904,34,-0.2054049571421925,Clear 
2025-05-07,2025-05-07 23:00,-0.434154668675909,34,-0.30977707903221374,Clear 
2025-05-08,2025-05-08 00:00,-0.5134781970473635,35,-0.30977707903221374,Clear 
2025-05-08,2025-05-08 01:00,-0.6324634896045461,37,-0.2054049571421925,Patchy rain nearby
2025-05-08,2025-05-08 02:00,-0.7514487821617281,39,0.15989746947288164,Patchy rain nearby
2025-05-08,2025-05-08 03:00,-0.8109414284403194,40,0.08161837805536558,Patchy rain nearby
2025-05-08,2025-05-08 04:00,-0.8704340747189107,41,0.3425486827804185,Clear 
2025-05-08,2025-05-08 05:00,-0.9497576030903652,42,0.44692080467043976,Clear 
2025-05-08,2025-05-08 06:00,-0.6126326075116821,38,0.7339441398679979,Patchy rain nearby
2025-05-08,2025-05-08 07:00,-0.2755076119329991,35,1.0209674750655564,Sunny
2025-05-08,2025-05-08 08:00,0.061617383645683914,31,1.2818977797906093,Patchy rain nearby
2025-05-08,2025-05-08 09:00,0.33924973294577637,29,1.490642023570652,Sunny
2025-05-08,2025-05-08 10:00,0.6168820822458682,26,1.6732932368781888,Patchy rain nearby
2025-05-08,2025-05-08 11:00,0.8945144315459599,24,1.8559444501857254,Sunny
2025-05-08,2025-05-08 12:00,1.0531614882888705,22,1.7515723282957048,Sunny
2025-05-08,2025-05-08 13:00,1.2118085450317797,21,1.6732932368781888,Sunny
2025-05-08,2025-05-08 14:00,1.3704556017746887,20,1.568921114988167,Sunny
2025-05-08,2025-05-08 15:00,1.072992370381733,23,1.3862699016806301,Sunny
2025-05-08,2025-05-08 16:00,0.7755291389887773,27,1.099246566483072,Sunny
